Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
17426850,Holiday,Stanley Middleton,"Middleton, Stanley",,"=""1407090488""","=""9781407090481""",4,3.34,Cornerstone Digital,ebook,256,2010,1974,2013/10/07,2013/09/23,"bookers, unlikeable-male-protagonist","bookers (#39), unlikeable-male-protagonist (#18)",read,,,,1,,,0,,,,,
256280,The Siege of Krishnapur,J.G. Farrell,"Farrell, J.G.",Pankaj Mishra,"=""159017092X""","=""9781590170922""",5,3.91,New York Review of Books,Paperback,344,2004,1973,2012/12/29,2012/07/07,"bookers, 5-star","bookers (#32), 5-star (#45)",read,,,,1,,,0,,,,,
15767654,Heat and Dust,Ruth Prawer Jhabvala,"Jhabvala, Ruth Prawer",,"=""""","=""""",4,3.55,Hachette Digital,Kindle Edition,192,2011,1975,2013/09/14,2011/04/12,bookers,bookers (#46),read,,,,1,,,0,,,,,
10561875,Saville,David Storey,"Storey, David",,"=""""","=""""",5,3.50,,Kindle Edition,562,,1976,2013/09/08,2013/08/17,"bookers, 5-star","bookers (#38), 5-star (#44)",read,,,,1,,,0,,,,,
5882515,American Gods,Neil Gaiman,"Gaiman, Neil",,"=""""","=""""",4,4.10,HarperCollins e-books,Kindle Edition,624,2001,2001,2013/08/17,2011/08/10,,,read,,,,1,,,0,,,,,
18218502,Staying On,Paul Scott,"Scott, Paul",,"=""""","=""B005I4D9RY""",5,3.89,Cornerstone Digital,Kindle Edition,260,2011,1977,2013/07/28,2013/07/20,"bookers, books-about-boozing, 5-star","bookers (#37), books-about-boozing (#15), 5-star (#46)",read,,,,1,,,0,,,,,
14431,"Rites of Passage (To the Ends of the Earth, #1)",William Golding,"Golding, William",,"=""0571209432""","=""9780571209439""",4,3.59,Faber and Faber,Paperback,278,2001,1980,2013/07/03,2013/01/20,"bookers, books-about-boozing, unlikeable-male-protagonist, nautical","bookers (#34), books-about-boozing (#14), unlikeable-male-protagonist (#17), nautical (#1)",read,,,,1,,,0,,,,,
4214,Life of Pi,Yann Martel,"Martel, Yann",,"=""0770430074""","=""9780770430078""",3,3.92,Seal Books,Paperback,460,2006,2001,,2010/12/16,"bookers, nautical","bookers (#9), nautical (#11)",read,,,,1,,,0,,,,,
7354,The Shipping News,Annie Proulx,"Proulx, Annie",,"=""0743225422""","=""9780743225427""",5,3.86,Scribner Book Company,Paperback,337,2002,1993,,2010/12/16,"5-star, nautical, pulitzer","5-star (#28), nautical (#10), pulitzer (#8)",read,,,,1,,,0,,,,,
38180,On the Beach,Nevil Shute,"Shute, Nevil",,"=""1842322761""","=""9781842322765""",4,3.95,House of Stratus,Paperback,296,2002,1957,,2010/12/18,"nautical, war","nautical (#9), war (#11)",read,,,,1,,,0,,,,,
111464,The Good Doctor,Damon Galgut,"Galgut, Damon",,"=""0802141692""","=""9780802141699""",4,3.62,Grove Press,Paperback,215,2004,2003,2011/03/04,2010/12/05,unlikeable-male-protagonist,unlikeable-male-protagonist (#4),read,,,,1,,,0,,,,,
108615,Offshore,Penelope Fitzgerald,"Fitzgerald, Penelope",,"=""0006542565""","=""9780006542568""",4,3.60,Harper Perennial,Paperback,140,2003,1979,2013/05/07,2013/01/20,"bookers, nautical","bookers (#35), nautical (#7)",read,,,,1,,,0,,,,,
2165,The Old Man and the Sea,Ernest Hemingway,"Hemingway, Ernest",,"=""0684830493""","=""9780684830490""",3,3.79,Scribner,Hardcover,96,1996,1952,,2010/12/16,"nautical, pulitzer","nautical (#6), pulitzer (#12)",read,,,,1,,,0,,,,,
77430,"Master and Commander (Aubrey & Maturin, #1)",Patrick O'Brian,"O'Brian, Patrick",,"=""0393307050""","=""9780393307054""",4,4.06,W. W. Norton  Company,Paperback,464,1990,1970,,2013/07/02,nautical,nautical (#4),read,,,,1,,,0,,,,,
7141642,The Thousand Autumns of Jacob de Zoet,David Mitchell,"Mitchell, David",,"=""1400065453""","=""9781400065455""",5,3.98,Random House,Hardcover,479,2010,2010,2011/07/07,2010/12/05,"5-star, nautical","5-star (#21), nautical (#3)",read,,,,1,,,0,,,,,
15713888,Telegraph Avenue,Michael Chabon,"Chabon, Michael",,"=""""","=""""",4,3.38,Harper,Kindle Edition,643,2012,2012,2013/06/22,2013/05/22,,,read,,,,1,,,0,,,,,
13512040,Bring Up the Bodies,Hilary Mantel,"Mantel, Hilary",,"=""""","=""""",4,4.24,Macmillan,Kindle Edition,436,2012,2012,2013/06/01,2013/05/07,bookers,bookers (#36),read,,,,1,,,0,,,,,
15795792,Sweet Tooth,Ian McEwan,"McEwan, Ian",,"=""0224097385""","=""9780224097383""",4,3.42,Jonathan Cape Ltd,Paperback,336,2012,2012,2013/05/19,2012/06/13,,,read,,,,1,,,0,,,,,
10587705,The Sound and the Fury,William Faulkner,"Faulkner, William",,"=""""","=""""",3,3.86,,Kindle Edition,338,,1929,2013/05/04,2013/04/23,unlikeable-male-protagonist,unlikeable-male-protagonist (#16),read,,,,1,,,0,,,,,
6250028,A Farewell to Arms,Ernest Hemingway,"Hemingway, Ernest",,"=""""","=""""",4,3.81,,Kindle Edition,128,,1929,2013/04/26,2012/04/23,"books-about-boozing, war","books-about-boozing (#13), war (#8)",read,,,,1,,,0,,,,,
136538,The Little Prince,Antoine de Saint-Exupéry,"Saint-Exupéry, Antoine de",Irene Testot-Ferry,"=""1853261580""","=""9781853261589""",2,4.31,Wordsworth Editions Limited,Paperback,112,1995,1943,2013/04/13,2013/04/11,,,read,,,,1,,,0,,,,,
6101138,"Wolf Hall (Thomas Cromwell, #1)",Hilary Mantel,"Mantel, Hilary",,"=""0007230184""","=""9780007230181""",4,3.87,HarperCollins Publishers Ltd,Paperback,653,2010,2009,,2010/12/16,bookers,bookers (#2),read,,,,1,,,0,,,,,
13452703,I Know Why the Caged Bird Sings,Maya Angelou,"Angelou, Maya",,"=""""","=""""",4,4.25,Virago,Paperback,281,1984,1969,2013/04/03,2012/11/13,,,read,,,,1,,,0,,,,,
3371185,"The Singapore Grip (Empire Trilogy, #3)",J.G. Farrell,"Farrell, J.G.",,"=""1857994922""","=""9781857994926""",4,3.95,Phoenix (an Imprint of The Orion Publishing Group Ltd ),Paperback,601,1996,1978,2013/03/23,2013/01/02,war,war (#12),read,,,,1,,,0,,,,,
343880,The Turning,Tim Winton,"Winton, Tim","Klaus Berr, Humphrey Bower, Caroline  Lee","=""0743279794""","=""9780743279796""",4,4.03,Scribner,Paperback,336,2006,2004,2013/02/15,2013/01/02,,,read,,,,1,,,0,,,,,
